city,locality,propertyType,bedrooms,bathrooms,area,propertyAge,floor,amenities_count,parking,price
Delhi,Rohini,Apartment,4,5,3049,16,9,0,0,36280000.0
Delhi,Rohini,Apartment,3,2,889,17,19,4,0,11170000.0
Bangalore,Koramangala,Independent House,5,4,3690,23,1,5,0,36940000.0
Chennai,Adyar,Apartment,2,3,1740,21,17,0,1,12270000.0
Chennai,ECR,Commercial Property,0,1,1017,16,5,4,1,6000000.0
Hyderabad,Kondapur,Apartment,2,2,582,16,21,8,1,3940000.0
Hyderabad,Kondapur,Commercial Property,0,1,948,16,8,1,1,5230000.0
Bangalore,Koramangala,Villa,3,4,3877,11,1,5,1,39340000.0
Mumbai,Bandra,Apartment,5,4,4481,1,11,2,0,105940000.0
Delhi,Dwarka,Villa,2,2,4421,14,19,1,1,49450000.0
Chennai,Anna Nagar,Villa,2,3,2628,4,4,9,1,16510000.0
Chennai,Anna Nagar,Commercial Property,0,1,3093,5,21,1,0,15950000.0
Mumbai,Powai,Independent House,1,2,3754,15,11,5,1,69760000.0
Delhi,Vasant Kunj,Independent House,3,4,592,17,19,2,0,6480000.0
Delhi,Dwarka,Apartment,5,5,4084,4,9,9,1,45410000.0
Bangalore,Electronic City,Independent House,1,1,2796,14,22,7,1,18600000.0
Hyderabad,HITECH City,Villa,4,3,2555,16,3,3,0,16200000.0
Bangalore,HSR Layout,Independent House,2,1,3213,13,24,2,0,23620000.0
Mumbai,Worli,Apartment,2,2,3353,2,19,8,0,59700000.0
Bangalore,Indiranagar,Apartment,2,2,3359,24,17,3,0,24410000.0
Mumbai,Bandra,Apartment,2,3,2775,14,22,1,0,73570000.0
Chennai,Anna Nagar,Independent House,2,1,3160,5,20,9,1,18610000.0
Mumbai,Juhu,Villa,5,4,1812,20,22,4,1,32810000.0
Delhi,Saket,Villa,1,2,3446,18,8,4,1,41840000.0
Bangalore,HSR Layout,Commercial Property,0,1,503,14,6,5,0,3410000.0
Mumbai,Bandra,Villa,3,3,1958,12,12,4,1,54830000.0
Delhi,Saket,Commercial Property,0,1,1031,16,12,0,1,11680000.0
Hyderabad,Jubilee Hills,Independent House,4,3,2526,2,1,5,1,22360000.0
Hyderabad,Gachibowli,Commercial Property,0,1,2560,7,2,3,0,14230000.0
Chennai,OMR,Apartment,3,4,2443,5,23,2,1,13190000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,833,20,24,8,1,4730000.0
Mumbai,Bandra,Commercial Property,0,1,4143,7,11,8,0,98380000.0
Mumbai,Juhu,Apartment,5,6,3950,13,4,8,0,73700000.0
Bangalore,Whitefield,Apartment,1,2,1074,14,1,8,0,8440000.0
Bangalore,Electronic City,Commercial Property,0,1,3610,18,6,5,0,25710000.0
Bangalore,HSR Layout,Independent House,5,4,2535,6,4,5,0,18380000.0
Hyderabad,Jubilee Hills,Independent House,1,1,2743,21,2,9,0,24970000.0
Chennai,ECR,Independent House,4,3,2763,19,24,7,0,16030000.0
Delhi,Connaught Place,Apartment,2,3,594,18,19,3,1,9910000.0
Mumbai,Juhu,Commercial Property,0,1,3825,9,8,5,1,67660000.0
Bangalore,Whitefield,Commercial Property,0,1,2688,7,18,8,0,17210000.0
Delhi,Saket,Commercial Property,0,1,3435,4,8,9,0,38720000.0
Bangalore,Indiranagar,Villa,3,2,4033,7,9,5,0,28770000.0
Hyderabad,Kondapur,Villa,4,4,3530,24,1,5,0,20640000.0
Hyderabad,HITECH City,Apartment,1,1,4007,24,21,9,0,22280000.0
Delhi,Vasant Kunj,Villa,3,3,885,6,18,1,0,10290000.0
Mumbai,Powai,Commercial Property,0,1,1702,21,24,8,0,28470000.0
Hyderabad,HITECH City,Apartment,5,6,1502,21,18,4,0,9300000.0
Delhi,Vasant Kunj,Apartment,4,4,841,7,17,6,0,9980000.0
Mumbai,Powai,Commercial Property,0,1,3889,16,13,7,0,63880000.0
Mumbai,Andheri,Villa,4,3,2661,5,19,3,0,47300000.0
Mumbai,Andheri,Villa,3,3,2709,0,23,6,1,53360000.0
Hyderabad,HITECH City,Apartment,3,4,2990,7,22,8,0,19180000.0
Mumbai,Bandra,Commercial Property,0,1,1787,1,3,7,1,46450000.0
Mumbai,Worli,Commercial Property,0,1,681,20,14,6,1,11200000.0
Bangalore,Indiranagar,Independent House,5,6,4195,18,4,1,1,32860000.0
Hyderabad,Banjara Hills,Independent House,2,3,1909,2,23,6,1,13170000.0
Hyderabad,HITECH City,Villa,5,6,2023,21,12,7,0,14190000.0
Mumbai,Bandra,Villa,3,2,3073,8,8,1,0,76520000.0
Chennai,Adyar,Villa,4,4,941,12,2,6,0,7450000.0
Bangalore,Electronic City,Villa,4,3,3481,1,17,4,0,25530000.0
Delhi,Rohini,Villa,5,6,4396,5,8,1,1,51000000.0
Hyderabad,Gachibowli,Apartment,1,1,3528,13,2,5,0,20000000.0
Hyderabad,Banjara Hills,Independent House,2,1,648,10,8,3,0,4480000.0
Mumbai,Andheri,Independent House,5,4,2285,3,15,3,0,43260000.0
Mumbai,Bandra,Villa,3,2,2526,1,9,9,1,59870000.0
Chennai,OMR,Apartment,1,1,1438,7,10,8,0,7670000.0
Bangalore,Electronic City,Commercial Property,0,1,4049,5,2,2,0,26000000.0
Mumbai,Bandra,Apartment,1,1,4140,22,17,7,0,109230000.0
Hyderabad,HITECH City,Independent House,5,5,3523,5,8,8,1,22760000.0
Mumbai,Andheri,Apartment,5,5,546,9,16,6,0,10440000.0
Hyderabad,Gachibowli,Independent House,5,6,636,18,16,7,1,5040000.0
Hyderabad,Gachibowli,Independent House,4,5,3542,17,10,6,0,22790000.0
Mumbai,Worli,Commercial Property,0,1,1621,2,5,7,1,30960000.0
Delhi,Vasant Kunj,Commercial Property,0,1,3529,24,13,1,0,41220000.0
Bangalore,HSR Layout,Villa,2,3,1238,9,2,6,0,9290000.0
Mumbai,Powai,Independent House,4,3,1457,16,21,8,1,29420000.0
Chennai,Velachery,Villa,1,2,3930,19,5,0,1,19400000.0
Hyderabad,Gachibowli,Commercial Property,0,1,2481,4,16,0,0,16230000.0
Chennai,OMR,Apartment,4,5,2541,4,5,5,0,16270000.0
Mumbai,Juhu,Villa,1,2,3111,3,8,3,0,58010000.0
Hyderabad,Jubilee Hills,Apartment,2,3,725,24,9,0,1,6480000.0
Hyderabad,Kondapur,Villa,1,1,3670,19,17,9,0,23390000.0
Chennai,Adyar,Commercial Property,0,1,1280,23,15,8,0,10450000.0
Hyderabad,Gachibowli,Independent House,1,2,3182,8,3,8,1,21120000.0
Chennai,OMR,Apartment,3,4,3797,23,15,5,1,22300000.0
Bangalore,Koramangala,Villa,5,4,1295,4,13,0,1,13980000.0
Hyderabad,Jubilee Hills,Villa,3,3,2587,12,13,0,1,22430000.0
Delhi,Vasant Kunj,Independent House,3,2,3328,10,13,8,0,38860000.0
Mumbai,Worli,Independent House,5,6,1056,24,19,6,1,18620000.0
Mumbai,Juhu,Villa,2,2,4289,12,12,6,1,74540000.0
Mumbai,Bandra,Apartment,1,2,3413,23,13,2,1,79180000.0
Bangalore,Indiranagar,Commercial Property,0,1,4402,14,5,5,1,28850000.0
Delhi,Dwarka,Commercial Property,0,1,2739,16,12,5,0,30470000.0
Chennai,Velachery,Commercial Property,0,1,2757,17,14,3,0,13790000.0
Hyderabad,Banjara Hills,Independent House,5,6,3604,5,15,2,0,23690000.0
Bangalore,Koramangala,Villa,2,1,1015,16,3,8,0,10500000.0
Hyderabad,Kondapur,Independent House,4,4,2210,13,20,5,0,13540000.0
Chennai,Anna Nagar,Commercial Property,0,1,520,14,16,4,0,2960000.0
Mumbai,Bandra,Apartment,3,4,3828,5,15,1,0,91320000.0
Chennai,OMR,Commercial Property,0,1,1794,11,16,7,1,9460000.0
Chennai,ECR,Apartment,3,3,4133,19,7,2,0,21400000.0
Hyderabad,Banjara Hills,Villa,3,3,1026,24,14,6,0,6750000.0
Delhi,Connaught Place,Apartment,1,2,3273,21,21,4,1,53480000.0
Mumbai,Juhu,Apartment,5,5,2513,17,14,5,1,47920000.0
Chennai,OMR,Commercial Property,0,1,3996,7,11,5,0,20310000.0
Chennai,Anna Nagar,Apartment,4,3,1213,7,18,0,1,7700000.0
Chennai,ECR,Villa,1,1,2663,21,7,1,1,14770000.0
Bangalore,Koramangala,Independent House,2,2,1386,11,17,7,0,13090000.0
Mumbai,Bandra,Villa,1,2,2770,8,18,7,1,73370000.0
Delhi,Saket,Independent House,3,3,3885,21,3,8,1,45530000.0
Mumbai,Andheri,Villa,4,5,4095,12,13,2,1,72110000.0
Delhi,Rohini,Commercial Property,0,1,4202,20,23,2,1,46480000.0
Bangalore,Whitefield,Villa,5,4,1582,2,10,2,0,11680000.0
Chennai,Anna Nagar,Apartment,5,6,2477,23,20,4,1,15340000.0
Delhi,Connaught Place,Commercial Property,0,1,2212,18,9,3,1,35440000.0
Delhi,Dwarka,Independent House,2,2,794,9,19,2,1,10020000.0
Delhi,Saket,Apartment,2,1,3458,0,3,9,1,38400000.0
Bangalore,HSR Layout,Villa,2,3,2840,4,6,8,1,19150000.0
Hyderabad,HITECH City,Commercial Property,0,1,4314,5,17,8,0,25630000.0
Mumbai,Juhu,Apartment,1,1,3466,14,11,9,0,62010000.0
Bangalore,Electronic City,Villa,4,4,3932,0,5,3,1,29500000.0
Chennai,OMR,Commercial Property,0,1,2503,24,11,4,0,13800000.0
Hyderabad,HITECH City,Apartment,4,5,2242,5,12,3,1,16050000.0
Chennai,ECR,Commercial Property,0,1,3344,0,23,2,1,17450000.0
Mumbai,Juhu,Apartment,1,2,1729,11,10,3,0,31120000.0
Mumbai,Powai,Villa,2,1,3877,24,7,7,0,70340000.0
Delhi,Connaught Place,Independent House,5,5,3293,22,8,1,0,47280000.0
Hyderabad,Kondapur,Independent House,2,1,2858,22,11,9,1,17690000.0
Chennai,Velachery,Commercial Property,0,1,3291,16,12,7,0,18730000.0
Chennai,OMR,Independent House,5,4,2908,1,18,5,0,19140000.0
Chennai,OMR,Commercial Property,0,1,3132,20,13,8,0,18420000.0
Hyderabad,Banjara Hills,Villa,3,3,4053,17,13,8,0,24720000.0
Mumbai,Bandra,Commercial Property,0,1,1321,6,21,0,1,34020000.0
Hyderabad,Jubilee Hills,Commercial Property,0,1,1996,0,17,0,0,15850000.0
Bangalore,Whitefield,Independent House,2,2,3489,8,3,4,1,27340000.0
Bangalore,HSR Layout,Apartment,5,5,1164,11,5,1,1,9470000.0
Delhi,Connaught Place,Independent House,3,4,1849,13,18,4,0,28700000.0
Hyderabad,Banjara Hills,Independent House,1,2,550,14,4,4,0,3300000.0
Bangalore,Electronic City,Commercial Property,0,1,4135,13,15,2,1,27780000.0
Delhi,Dwarka,Villa,1,1,3191,24,11,6,0,37570000.0
Hyderabad,HITECH City,Villa,5,5,1451,3,20,3,1,10800000.0
Chennai,Anna Nagar,Commercial Property,0,1,1885,14,13,6,1,11140000.0
Delhi,Vasant Kunj,Villa,1,2,509,23,10,7,1,5600000.0
Bangalore,Whitefield,Apartment,4,4,3211,18,4,6,1,24930000.0
Mumbai,Worli,Villa,1,2,2789,4,15,0,0,54070000.0
Chennai,ECR,Apartment,5,6,2966,6,11,9,0,17470000.0
Hyderabad,HITECH City,Villa,1,1,1843,2,7,4,1,11390000.0
Hyderabad,HITECH City,Apartment,3,4,3851,13,19,3,1,23060000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,852,3,3,8,1,5440000.0
Chennai,Anna Nagar,Apartment,1,1,1455,4,12,4,1,9150000.0
Bangalore,Whitefield,Villa,4,3,557,2,22,5,1,5770000.0
Bangalore,Indiranagar,Independent House,2,3,2321,19,8,5,1,15300000.0
Hyderabad,Kondapur,Apartment,1,2,707,9,23,0,1,4560000.0
Delhi,Saket,Commercial Property,0,1,736,22,19,7,1,8840000.0
Delhi,Vasant Kunj,Apartment,5,5,2953,17,8,6,1,31240000.0
Delhi,Connaught Place,Villa,5,5,4375,0,23,1,0,66750000.0
Hyderabad,Gachibowli,Independent House,1,1,2996,10,3,3,1,18080000.0
Delhi,Dwarka,Independent House,3,3,2690,21,5,3,1,30120000.0
Chennai,Velachery,Villa,2,1,2326,23,10,5,0,13720000.0
Delhi,Vasant Kunj,Independent House,5,6,3125,1,3,1,1,39210000.0
Bangalore,Indiranagar,Villa,1,1,3369,0,4,0,1,25890000.0
Hyderabad,Banjara Hills,Independent House,3,2,3449,24,13,4,1,19360000.0
Bangalore,HSR Layout,Apartment,4,3,2479,11,13,3,1,17560000.0
Hyderabad,Jubilee Hills,Villa,2,3,3014,18,5,2,1,25410000.0
Bangalore,Whitefield,Villa,5,6,1579,14,9,6,0,11450000.0
Hyderabad,HITECH City,Commercial Property,0,1,4065,18,7,0,1,24730000.0
Chennai,ECR,Independent House,4,3,1319,3,6,6,1,7990000.0
Delhi,Rohini,Independent House,3,3,2049,6,5,5,0,21100000.0
Bangalore,Whitefield,Apartment,5,5,4042,23,7,4,0,28140000.0
Bangalore,Koramangala,Apartment,5,4,2885,4,13,3,0,27260000.0
Delhi,Saket,Independent House,5,6,1128,3,2,3,1,14540000.0
Mumbai,Bandra,Apartment,4,3,3993,9,21,9,0,94380000.0
Chennai,OMR,Apartment,1,1,1071,15,1,9,1,5780000.0
Delhi,Rohini,Commercial Property,0,1,1258,1,8,5,1,13440000.0
Chennai,Anna Nagar,Independent House,5,6,3128,11,1,6,0,16810000.0
Chennai,Adyar,Apartment,5,6,907,2,24,0,0,8200000.0
Bangalore,HSR Layout,Independent House,4,5,1734,6,19,2,0,12860000.0
Hyderabad,Gachibowli,Villa,4,3,1746,7,8,8,0,11420000.0
Bangalore,Whitefield,Apartment,4,4,3383,13,9,8,0,24910000.0
Bangalore,Koramangala,Apartment,4,5,2011,1,22,4,1,22080000.0
Delhi,Dwarka,Independent House,2,3,2820,7,18,6,0,30840000.0
Mumbai,Worli,Villa,1,1,3337,19,20,4,1,56550000.0
Chennai,ECR,Independent House,2,2,4202,6,17,8,0,22680000.0
Hyderabad,Kondapur,Villa,4,5,755,21,22,8,1,5600000.0
Hyderabad,Gachibowli,Villa,5,4,962,19,18,2,0,7100000.0
Hyderabad,Jubilee Hills,Apartment,5,4,3243,2,22,2,0,29620000.0
Delhi,Vasant Kunj,Commercial Property,0,1,1634,7,10,9,1,19550000.0
Delhi,Rohini,Independent House,1,2,1747,9,2,8,1,20750000.0
Mumbai,Powai,Villa,1,1,1916,19,4,5,1,36470000.0
Delhi,Vasant Kunj,Villa,1,1,4008,24,20,2,0,42130000.0
Mumbai,Juhu,Villa,4,5,1904,3,20,9,1,33770000.0
Bangalore,Electronic City,Villa,5,5,2523,6,21,9,1,18070000.0
Delhi,Vasant Kunj,Apartment,4,3,3690,6,4,2,1,38390000.0
Bangalore,HSR Layout,Commercial Property,0,1,3083,1,18,2,0,19590000.0
Mumbai,Bandra,Independent House,3,3,1163,12,12,9,1,28600000.0
Delhi,Saket,Commercial Property,0,1,1239,22,17,6,0,12280000.0
Delhi,Vasant Kunj,Independent House,4,5,1826,10,22,0,0,21410000.0
Delhi,Saket,Independent House,4,5,4442,8,16,4,0,50520000.0
Bangalore,Koramangala,Independent House,5,6,4196,21,13,5,0,45710000.0
Mumbai,Juhu,Independent House,2,3,3873,18,5,4,1,74360000.0
Bangalore,Electronic City,Commercial Property,0,1,2125,3,7,6,1,16500000.0
Chennai,Anna Nagar,Villa,1,1,1185,11,20,7,0,7470000.0
Delhi,Dwarka,Villa,4,5,662,22,14,7,1,7860000.0
Bangalore,Indiranagar,Apartment,4,3,2336,3,24,3,1,19010000.0
Chennai,ECR,Commercial Property,0,1,2510,6,6,1,1,14310000.0
Delhi,Rohini,Villa,2,2,1836,4,21,1,0,21280000.0
Bangalore,Electronic City,Commercial Property,0,1,2438,18,21,8,0,15700000.0
Bangalore,Electronic City,Commercial Property,0,1,3037,24,7,5,0,21100000.0
Hyderabad,Kondapur,Villa,4,4,2590,8,7,5,0,16730000.0
Bangalore,Indiranagar,Villa,5,4,2037,21,16,8,1,14280000.0
Mumbai,Juhu,Independent House,4,5,1817,9,3,2,0,33560000.0
Hyderabad,Banjara Hills,Villa,4,4,1383,21,15,7,1,9970000.0
Delhi,Connaught Place,Villa,3,2,3548,7,17,1,0,50780000.0
Mumbai,Worli,Apartment,2,3,1273,6,20,6,0,23080000.0
Mumbai,Powai,Apartment,3,4,3051,11,10,7,1,54290000.0
Chennai,Anna Nagar,Apartment,5,6,1404,14,15,7,1,8500000.0
Delhi,Connaught Place,Villa,3,2,758,17,11,7,1,11600000.0
Chennai,ECR,Commercial Property,0,1,1112,3,6,5,0,6770000.0
Delhi,Saket,Villa,1,2,3680,22,21,4,1,41620000.0
Delhi,Connaught Place,Villa,2,3,2094,22,5,8,0,32780000.0
Chennai,Anna Nagar,Villa,2,2,3569,4,3,8,1,22300000.0
Mumbai,Worli,Commercial Property,0,1,1918,1,15,8,0,33180000.0
Mumbai,Worli,Commercial Property,0,1,1485,15,21,7,1,24710000.0
Hyderabad,Jubilee Hills,Commercial Property,0,1,540,18,15,1,1,4380000.0
Chennai,ECR,Commercial Property,0,1,3409,14,3,0,1,19440000.0
Bangalore,Koramangala,Independent House,4,5,2458,5,9,3,1,27750000.0
Mumbai,Worli,Villa,1,2,2329,14,21,2,0,40280000.0
Delhi,Connaught Place,Commercial Property,0,1,1050,8,3,1,0,17320000.0
Mumbai,Powai,Independent House,3,4,1877,23,14,5,1,36870000.0
Mumbai,Powai,Villa,3,2,780,7,24,9,1,14550000.0
Chennai,Adyar,Villa,3,4,1949,18,9,3,0,16890000.0
Chennai,Adyar,Commercial Property,0,1,1132,18,15,3,1,8080000.0
Hyderabad,Kondapur,Commercial Property,0,1,785,8,1,7,1,4810000.0
Mumbai,Juhu,Independent House,1,2,2881,8,4,3,1,55890000.0
Chennai,ECR,Villa,1,2,1778,22,16,0,1,8730000.0
Mumbai,Powai,Commercial Property,0,1,2085,20,21,4,1,39860000.0
Mumbai,Worli,Apartment,5,4,3772,8,4,2,0,63030000.0
Chennai,ECR,Independent House,4,4,4159,13,15,8,0,25830000.0
Hyderabad,Kondapur,Independent House,4,3,4240,18,4,6,0,24350000.0
Delhi,Connaught Place,Apartment,3,3,2015,1,24,1,0,33360000.0
Chennai,OMR,Villa,1,1,1279,5,8,2,1,7360000.0
Chennai,ECR,Apartment,1,2,1947,13,3,3,1,11130000.0
Hyderabad,HITECH City,Villa,1,1,1659,10,20,0,1,10030000.0
Hyderabad,HITECH City,Commercial Property,0,1,3165,10,22,8,0,20350000.0
Chennai,OMR,Apartment,5,6,4142,6,23,8,0,24250000.0
Mumbai,Powai,Independent House,5,6,4129,12,1,7,1,79260000.0
Hyderabad,Kondapur,Apartment,4,3,3811,0,13,9,0,26520000.0
Hyderabad,HITECH City,Independent House,5,6,1226,16,15,3,1,8090000.0
Delhi,Vasant Kunj,Independent House,4,4,3032,18,15,7,1,37160000.0
Delhi,Dwarka,Independent House,1,2,2293,8,10,1,0,25800000.0
Bangalore,Koramangala,Independent House,1,1,4122,2,20,5,0,42810000.0
Hyderabad,Jubilee Hills,Commercial Property,0,1,2843,1,17,8,1,24560000.0
Mumbai,Bandra,Independent House,5,6,3533,4,21,0,0,87350000.0
Chennai,Anna Nagar,Apartment,3,3,2967,2,13,6,0,16650000.0
Bangalore,HSR Layout,Commercial Property,0,1,2323,2,3,8,0,15280000.0
Mumbai,Andheri,Independent House,1,1,2135,0,24,6,1,36520000.0
Hyderabad,Banjara Hills,Apartment,1,1,3106,19,19,9,1,18550000.0
Mumbai,Powai,Independent House,3,3,2942,16,17,5,1,54840000.0
Bangalore,HSR Layout,Commercial Property,0,1,1332,3,17,1,0,8790000.0
Mumbai,Powai,Independent House,5,5,1678,13,22,9,0,28570000.0
Mumbai,Juhu,Independent House,5,5,3032,4,10,4,0,60270000.0
Delhi,Dwarka,Commercial Property,0,1,2916,12,15,3,0,31190000.0
Delhi,Rohini,Apartment,1,1,2432,1,13,5,0,29040000.0
Mumbai,Powai,Villa,2,1,4134,16,21,4,1,79810000.0
Delhi,Saket,Apartment,4,5,1803,2,13,1,0,19610000.0
Hyderabad,HITECH City,Independent House,4,4,2651,21,24,9,0,15830000.0
Hyderabad,Banjara Hills,Apartment,1,1,2711,21,19,4,1,17070000.0
Hyderabad,Banjara Hills,Villa,5,5,2942,6,5,0,1,18050000.0
Bangalore,HSR Layout,Villa,1,2,2694,15,12,3,1,19000000.0
Bangalore,HSR Layout,Villa,3,2,1739,22,15,8,0,12970000.0
Mumbai,Juhu,Villa,3,3,1103,18,15,3,0,22160000.0
Chennai,Anna Nagar,Apartment,1,1,1380,0,8,2,0,8550000.0
Mumbai,Juhu,Apartment,5,6,3267,17,22,5,0,64340000.0
Bangalore,Koramangala,Commercial Property,0,1,776,15,12,1,0,6960000.0
Chennai,Adyar,Independent House,2,2,612,7,7,6,0,5590000.0
Chennai,ECR,Apartment,5,4,2267,7,5,8,0,15020000.0
Mumbai,Andheri,Independent House,1,1,1441,13,4,5,0,25320000.0
Mumbai,Worli,Apartment,5,5,2592,18,6,1,1,43970000.0
Bangalore,Koramangala,Commercial Property,0,1,3759,1,2,9,0,38510000.0
Delhi,Dwarka,Independent House,3,4,1473,23,23,5,0,16900000.0
Chennai,OMR,Apartment,5,4,2056,18,21,2,0,12840000.0
Chennai,Velachery,Villa,4,4,2087,19,18,1,1,11560000.0
Hyderabad,Banjara Hills,Apartment,3,4,3323,17,12,6,0,19680000.0
Bangalore,Koramangala,Independent House,3,2,2239,16,15,8,0,21280000.0
Hyderabad,Gachibowli,Villa,1,2,1611,17,8,8,1,9530000.0
Chennai,ECR,Commercial Property,0,1,1132,0,11,2,0,6760000.0
Delhi,Connaught Place,Commercial Property,0,1,3458,18,13,2,0,51610000.0
Delhi,Saket,Apartment,1,1,970,0,24,6,1,10550000.0
Hyderabad,Kondapur,Independent House,5,4,1428,23,12,0,1,9770000.0
Chennai,ECR,Commercial Property,0,1,2246,11,5,9,0,12180000.0
Delhi,Vasant Kunj,Independent House,2,2,726,11,9,6,0,7980000.0
Hyderabad,Kondapur,Commercial Property,0,1,3445,15,9,8,1,20730000.0
Chennai,Anna Nagar,Apartment,5,4,661,8,24,7,0,4660000.0
Mumbai,Worli,Villa,4,3,1039,7,22,5,0,21320000.0
Delhi,Saket,Independent House,5,4,2596,21,22,9,0,28350000.0
Hyderabad,Gachibowli,Villa,5,4,3673,23,2,5,0,21240000.0
Bangalore,Whitefield,Apartment,3,4,3161,16,12,5,1,20630000.0
Mumbai,Bandra,Commercial Property,0,1,3759,5,1,3,0,99940000.0
Chennai,Anna Nagar,Villa,4,5,4073,20,10,8,1,21960000.0
Hyderabad,HITECH City,Apartment,2,3,3303,24,12,4,1,20260000.0
